cod_municipio_ibge,nome,uf,nome_norm
1200013,Acrelândia,AC,acrelandia
1200054,Assis Brasil,AC,assis brasil
1200104,Brasiléia,AC,brasileia
1200138,Bujari,AC,bujari
1200179,Capixaba,AC,capixaba
1200203,Cruzeiro do Sul,AC,cruzeiro do sul
1200252,Epitaciolândia,AC,epitaciolandia
1200302,Feijó,AC,feijo
1200328,Jordão,AC,jordao
1200336,Mâncio Lima,AC,mancio lima
1200344,Manoel Urbano,AC,manoel urbano
1200351,Marechal Thaumaturgo,AC,marechal thaumaturgo
1200385,Plácido de Castro,AC,placido de castro
1200807,Porto Acre,AC,porto acre
1200393,Porto Walter,AC,porto walter
1200401,Rio Branco,AC,rio branco
1200427,Rodrigues Alves,AC,rodrigues alves
1200435,Santa Rosa do Purus,AC,santa rosa do purus
1200500,Sena Madureira,AC,sena madureira
1200450,Senador Guiomard,AC,senador guiomard
1200609,Tarauacá,AC,tarauaca
1200708,Xapuri,AC,xapuri
2700102,Água Branca,AL,agua branca
2700201,Anadia,AL,anadia
2700300,Arapiraca,AL,arapiraca
2700409,Atalaia,AL,atalaia
2700508,Barra de Santo Antônio,AL,barra de santo antonio
2700607,Barra de São Miguel,AL,barra de sao miguel
2700706,Batalha,AL,batalha
2700805,Belém,AL,belem
2700904,Belo Monte,AL,belo monte
2701001,Boca da Mata,AL,boca da mata
2701100,Branquinha,AL,branquinha
2701209,Cacimbinhas,AL,cacimbinhas
2701308,Cajueiro,AL,cajueiro
2701357,Campestre,AL,campestre
2701407,Campo Alegre,AL,campo alegre
2701506,Campo Grande,AL,campo grande
2701605,Canapi,AL,canapi
2701704,Capela,AL,capela
2701803,Carneiros,AL,carneiros
2701902,Chã Preta,AL,cha preta
2702009,Coité do Nóia,AL,coite do noia
2702108,Colônia Leopoldina,AL,colonia leopoldina
2702207,Coqueiro Seco,AL,coqueiro seco
2702306,Coruripe,AL,coruripe
2702355,Craíbas,AL,craibas
2702405,Delmiro Gouveia,AL,delmiro gouveia
2702504,Dois Riachos,AL,dois riachos
2702553,Estrela de Alagoas,AL,estrela de alagoas
2702603,Feira Grande,AL,feira grande
2702702,Feliz Deserto,AL,feliz deserto
2702801,Flexeiras,AL,flexeiras
2702900,Girau do Ponciano,AL,girau do ponciano
2703007,Ibateguara,AL,ibateguara
2703106,Igaci,AL,igaci
2703205,Igreja Nova,AL,igreja nova
2703304,Inhapi,AL,inhapi
2703403,Jacaré dos Homens,AL,jacare dos homens
2703502,Jacuípe,AL,jacuipe
2703601,Japaratinga,AL,japaratinga
2703700,Jaramataia,AL,jaramataia
2703759,Jequiá da Praia,AL,jequia da praia
2703809,Joaquim Gomes,AL,joaquim gomes
2703908,Jundiá,AL,jundia
2704005,Junqueiro,AL,junqueiro
2704104,Lagoa da Canoa,AL,lagoa da canoa
2704203,Limoeiro de Anadia,AL,limoeiro de anadia
2704302,Maceió,AL,maceio
2704401,Major Isidoro,AL,major isidoro
2704906,Mar Vermelho,AL,mar vermelho
2704500,Maragogi,AL,maragogi
2704609,Maravilha,AL,maravilha
2704708,Marechal Deodoro,AL,marechal deodoro
2704807,Maribondo,AL,maribondo
2705002,Mata Grande,AL,mata grande
2705101,Matriz de Camaragibe,AL,matriz de camaragibe
2705200,Messias,AL,messias
2705309,Minador do Negrão,AL,minador do negrao
2705408,Monteirópolis,AL,monteiropolis
2705507,Murici,AL,murici
2705606,Novo Lino,AL,novo lino
2705705,Olho d'Água das Flores,AL,olho d'agua das flores
2705804,Olho d'Água do Casado,AL,olho d'agua do casado
2705903,Olho d'Água Grande,AL,olho d'agua grande
2706000,Olivença,AL,olivenca
2706109,Ouro Branco,AL,ouro branco
2706208,Palestina,AL,palestina
2706307,Palmeira dos Índios,AL,palmeira dos indios
2706406,Pão de Açúcar,AL,pao de acucar
2706422,Pariconha,AL,pariconha
2706448,Paripueira,AL,paripueira
2706505,Passo de Camaragibe,AL,passo de camaragibe
2706604,Paulo Jacinto,AL,paulo jacinto
2706703,Penedo,AL,penedo
2706802,Piaçabuçu,AL,piacabucu
2706901,Pilar,AL,pilar
2707008,Pindoba,AL,pindoba
2707107,Piranhas,AL,piranhas
2707206,Poço das Trincheiras,AL,poco das trincheiras
2707305,Porto Calvo,AL,porto calvo
2707404,Porto de Pedras,AL,porto de pedras
2707503,Porto Real do Colégio,AL,porto real do colegio
2707602,Quebrangulo,AL,quebrangulo
2707701,Rio Largo,AL,rio largo
2707800,Roteiro,AL,roteiro
2707909,Santa Luzia do Norte,AL,santa luzia do norte
2708006,Santana do Ipanema,AL,santana do ipanema
2708105,Santana do Mundaú,AL,santana do mundau
2708204,São Brás,AL,sao bras
2708303,São José da Laje,AL,sao jose da laje
2708402,São José da Tapera,AL,sao jose da tapera
2708501,São Luís do Quitunde,AL,sao luis do quitunde
2708600,São Miguel dos Campos,AL,sao miguel dos campos
2708709,São Miguel dos Milagres,AL,sao miguel dos milagres
2708808,São Sebastião,AL,sao sebastiao
2708907,Satuba,AL,satuba
2708956,Senador Rui Palmeira,AL,senador rui palmeira
2709004,Tanque d'Arca,AL,tanque d'arca
2709103,Taquarana,AL,taquarana
2709152,Teotônio Vilela,AL,teotonio vilela
2709202,Traipu,AL,traipu
2709301,União dos Palmares,AL,uniao dos palmares
2709400,Viçosa,AL,vicosa
1300029,Alvarães,AM,alvaraes
1300060,Amaturá,AM,amatura
1300086,Anamã,AM,anama
1300102,Anori,AM,anori
1300144,Apuí,AM,apui
1300201,Atalaia do Norte,AM,atalaia do norte
1300300,Autazes,AM,autazes
1300409,Barcelos,AM,barcelos
1300508,Barreirinha,AM,barreirinha
1300607,Benjamin Constant,AM,benjamin constant
1300631,Beruri,AM,beruri
1300680,Boa Vista do Ramos,AM,boa vista do ramos
1300706,Boca do Acre,AM,boca do acre
1300805,Borba,AM,borba
1300839,Caapiranga,AM,caapiranga
1300904,Canutama,AM,canutama
1301001,Carauari,AM,carauari
1301100,Careiro,AM,careiro
1301159,Careiro da Várzea,AM,careiro da varzea
1301209,Coari,AM,coari
1301308,Codajás,AM,codajas
1301407,Eirunepé,AM,eirunepe
1301506,Envira,AM,envira
1301605,Fonte Boa,AM,fonte boa
1301654,Guajará,AM,guajara
1301704,Humaitá,AM,humaita
1301803,Ipixuna,AM,ipixuna
1301852,Iranduba,AM,iranduba
1301902,Itacoatiara,AM,itacoatiara
1301951,Itamarati,AM,itamarati
1302009,Itapiranga,AM,itapiranga
1302108,Japurá,AM,japura
1302207,Juruá,AM,jurua
1302306,Jutaí,AM,jutai
1302405,Lábrea,AM,labrea
1302504,Manacapuru,AM,manacapuru
1302553,Manaquiri,AM,manaquiri
1302603,Manaus,AM,manaus
1302702,Manicoré,AM,manicore
1302801,Maraã,AM,maraa
1302900,Maués,AM,maues
1303007,Nhamundá,AM,nhamunda
1303106,Nova Olinda do Norte,AM,nova olinda do norte
1303205,Novo Airão,AM,novo airao
1303304,Novo Aripuanã,AM,novo aripuana
1303403,Parintins,AM,parintins
1303502,Pauini,AM,pauini
1303536,Presidente Figueiredo,AM,presidente figueiredo
1303569,Rio Preto da Eva,AM,rio preto da eva
1303601,Santa Isabel do Rio Negro,AM,santa isabel do rio negro
1303700,Santo Antônio do Içá,AM,santo antonio do ica
1303809,São Gabriel da Cachoeira,AM,sao gabriel da cachoeira
1303908,São Paulo de Olivença,AM,sao paulo de olivenca
1303957,São Sebastião do Uatumã,AM,sao sebastiao do uatuma
1304005,Silves,AM,silves
1304062,Tabatinga,AM,tabatinga
1304104,Tapauá,AM,tapaua
1304203,Tefé,AM,tefe
1304237,Tonantins,AM,tonantins
1304260,Uarini,AM,uarini
1304302,Urucará,AM,urucara
1304401,Urucurituba,AM,urucurituba
1600105,Amapá,AP,amapa
1600204,Calçoene,AP,calcoene
1600212,Cutias,AP,cutias
1600238,Ferreira Gomes,AP,ferreira gomes
1600253,Itaubal,AP,itaubal
1600279,Laranjal do Jari,AP,laranjal do jari
1600303,Macapá,AP,macapa
1600402,Mazagão,AP,mazagao
1600501,Oiapoque,AP,oiapoque
1600154,Pedra Branca do Amapari,AP,pedra branca do amapari
1600535,Porto Grande,AP,porto grande
1600550,Pracuúba,AP,pracuuba
1600600,Santana,AP,santana
1600055,Serra do Navio,AP,serra do navio
1600709,Tartarugalzinho,AP,tartarugalzinho
1600808,Vitória do Jari,AP,vitoria do jari
2900108,Abaíra,BA,abaira
2900207,Abaré,BA,abare
2900306,Acajutiba,BA,acajutiba
2900355,Adustina,BA,adustina
2900405,Água Fria,BA,agua fria
2900603,Aiquara,BA,aiquara
2900702,Alagoinhas,BA,alagoinhas
2900801,Alcobaça,BA,alcobaca
2900900,Almadina,BA,almadina
2901007,Amargosa,BA,amargosa
2901106,Amélia Rodrigues,BA,amelia rodrigues
2901155,América Dourada,BA,america dourada
2901205,Anagé,BA,anage
2901304,Andaraí,BA,andarai
2901353,Andorinha,BA,andorinha
2901403,Angical,BA,angical
2901502,Anguera,BA,anguera
2901601,Antas,BA,antas
2901700,Antônio Cardoso,BA,antonio cardoso
2901809,Antônio Gonçalves,BA,antonio goncalves
2901908,Aporá,BA,apora
2901957,Apuarema,BA,apuarema
2902054,Araçás,BA,aracas
2902005,Aracatu,BA,aracatu
2902104,Araci,BA,araci
2902203,Aramari,BA,aramari
2902252,Arataca,BA,arataca
2902302,Aratuípe,BA,aratuipe
2902401,Aurelino Leal,BA,aurelino leal
2902500,Baianópolis,BA,baianopolis
2902609,Baixa Grande,BA,baixa grande
2902658,Banzaê,BA,banzae
2902708,Barra,BA,barra
2902807,Barra da Estiva,BA,barra da estiva
2902906,Barra do Choça,BA,barra do choca
2903003,Barra do Mendes,BA,barra do mendes
2903102,Barra do Rocha,BA,barra do rocha
2903201,Barreiras,BA,barreiras
2903235,Barro Alto,BA,barro alto
2903300,Barro Preto,BA,barro preto
2903276,Barrocas,BA,barrocas
2903409,Belmonte,BA,belmonte
2903508,Belo Campo,BA,belo campo
2903607,Biritinga,BA,biritinga
2903706,Boa Nova,BA,boa nova
2903805,Boa Vista do Tupim,BA,boa vista do tupim
2903904,Bom Jesus da Lapa,BA,bom jesus da lapa
2903953,Bom Jesus da Serra,BA,bom jesus da serra
2904001,Boninal,BA,boninal
2904050,Bonito,BA,bonito
2904100,Boquira,BA,boquira
2904209,Botuporã,BA,botupora
2904308,Brejões,BA,brejoes
2904407,Brejolândia,BA,brejolandia
2904506,Brotas de Macaúbas,BA,brotas de macaubas
2904605,Brumado,BA,brumado
2904704,Buerarema,BA,buerarema
2904753,Buritirama,BA,buritirama
2904803,Caatiba,BA,caatiba
2904852,Cabaceiras do Paraguaçu,BA,cabaceiras do paraguacu
2904902,Cachoeira,BA,cachoeira
2905008,Caculé,BA,cacule
2905107,Caém,BA,caem
2905156,Caetanos,BA,caetanos
2905206,Caetité,BA,caetite
2905305,Cafarnaum,BA,cafarnaum
2905404,Cairu,BA,cairu
2905503,Caldeirão Grande,BA,caldeirao grande
2905602,Camacan,BA,camacan
2905701,Camaçari,BA,camacari
2905800,Camamu,BA,camamu
2905909,Campo Alegre de Lourdes,BA,campo alegre de lourdes
2906006,Campo Formoso,BA,campo formoso
2906105,Canápolis,BA,canapolis
2906204,Canarana,BA,canarana
2906303,Canavieiras,BA,canavieiras
2906402,Candeal,BA,candeal
2906501,Candeias,BA,candeias
2906600,Candiba,BA,candiba
2906709,Cândido Sales,BA,candido sales
2906808,Cansanção,BA,cansancao
2906824,Canudos,BA,canudos
2906857,Capela do Alto Alegre,BA,capela do alto alegre
2906873,Capim Grosso,BA,capim grosso
2906899,Caraíbas,BA,caraibas
2906907,Caravelas,BA,caravelas
2907004,Cardeal da Silva,BA,cardeal da silva
2907103,Carinhanha,BA,carinhanha
2907202,Casa Nova,BA,casa nova
2907301,Castro Alves,BA,castro alves
2907400,Catolândia,BA,catolandia
2907509,Catu,BA,catu
2907558,Caturama,BA,caturama
2907608,Central,BA,central
2907707,Chorrochó,BA,chorrocho
2907806,Cícero Dantas,BA,cicero dantas
2907905,Cipó,BA,cipo
2908002,Coaraci,BA,coaraci
2908101,Cocos,BA,cocos
2908200,Conceição da Feira,BA,conceicao da feira
2908309,Conceição do Almeida,BA,conceicao do almeida
2908408,Conceição do Coité,BA,conceicao do coite
2908507,Conceição do Jacuípe,BA,conceicao do jacuipe
2908606,Conde,BA,conde
2908705,Condeúba,BA,condeuba
2908804,Contendas do Sincorá,BA,contendas do sincora
2908903,Coração de Maria,BA,coracao de maria
2909000,Cordeiros,BA,cordeiros
2909109,Coribe,BA,coribe
2909208,Coronel João Sá,BA,coronel joao sa
2909307,Correntina,BA,correntina
2909406,Cotegipe,BA,cotegipe
2909505,Cravolândia,BA,cravolandia
2909604,Crisópolis,BA,crisopolis
2909703,Cristópolis,BA,cristopolis
2909802,Cruz das Almas,BA,cruz das almas
2909901,Curaçá,BA,curaca
2910008,Dário Meira,BA,dario meira
2910057,Dias d'Ávila,BA,dias d'avila
2910107,Dom Basílio,BA,dom basilio
2910206,Dom Macedo Costa,BA,dom macedo costa
2910305,Elísio Medrado,BA,elisio medrado
2910404,Encruzilhada,BA,encruzilhada
2910503,Entre Rios,BA,entre rios
2900504,Érico Cardoso,BA,erico cardoso
2910602,Esplanada,BA,esplanada
2910701,Euclides da Cunha,BA,euclides da cunha
2910727,Eunápolis,BA,eunapolis
2910750,Fátima,BA,fatima
2910776,Feira da Mata,BA,feira da mata
2910800,Feira de Santana,BA,feira de santana
2910859,Filadélfia,BA,filadelfia
2910909,Firmino Alves,BA,firmino alves
2911006,Floresta Azul,BA,floresta azul
2911105,Formosa do Rio Preto,BA,formosa do rio preto
2911204,Gandu,BA,gandu
2911253,Gavião,BA,gaviao
2911303,Gentio do Ouro,BA,gentio do ouro
2911402,Glória,BA,gloria
2911501,Gongogi,BA,gongogi
2911600,Governador Mangabeira,BA,governador mangabeira
2911659,Guajeru,BA,guajeru
2911709,Guanambi,BA,guanambi
2911808,Guaratinga,BA,guaratinga
2911857,Heliópolis,BA,heliopolis
2911907,Iaçu,BA,iacu
2912004,Ibiassucê,BA,ibiassuce
2912103,Ibicaraí,BA,ibicarai
2912202,Ibicoara,BA,ibicoara
2912301,Ibicuí,BA,ibicui
2912400,Ibipeba,BA,ibipeba
2912509,Ibipitanga,BA,ibipitanga
2912608,Ibiquera,BA,ibiquera
2912707,Ibirapitanga,BA,ibirapitanga
2912806,Ibirapuã,BA,ibirapua
2912905,Ibirataia,BA,ibirataia
2913002,Ibitiara,BA,ibitiara
2913101,Ibititá,BA,ibitita
2913200,Ibotirama,BA,ibotirama
2913309,Ichu,BA,ichu
2913408,Igaporã,BA,igapora
2913457,Igrapiúna,BA,igrapiuna
2913507,Iguaí,BA,iguai
2913606,Ilhéus,BA,ilheus
2913705,Inhambupe,BA,inhambupe
2913804,Ipecaetá,BA,ipecaeta
2913903,Ipiaú,BA,ipiau
2914000,Ipirá,BA,ipira
2914109,Ipupiara,BA,ipupiara
2914208,Irajuba,BA,irajuba
2914307,Iramaia,BA,iramaia
2914406,Iraquara,BA,iraquara
2914505,Irará,BA,irara
2914604,Irecê,BA,irece
2914653,Itabela,BA,itabela
2914703,Itaberaba,BA,itaberaba
2914802,Itabuna,BA,itabuna
2914901,Itacaré,BA,itacare
2915007,Itaeté,BA,itaete
2915106,Itagi,BA,itagi
2915205,Itagibá,BA,itagiba
2915304,Itagimirim,BA,itagimirim
2915353,Itaguaçu da Bahia,BA,itaguacu da bahia
2915403,Itaju do Colônia,BA,itaju do colonia
2915502,Itajuípe,BA,itajuipe
2915601,Itamaraju,BA,itamaraju
2915700,Itamari,BA,itamari
2915809,Itambé,BA,itambe
2915908,Itanagra,BA,itanagra
2916005,Itanhém,BA,itanhem
2916104,Itaparica,BA,itaparica
2916203,Itapé,BA,itape
2916302,Itapebi,BA,itapebi
2916401,Itapetinga,BA,itapetinga
2916500,Itapicuru,BA,itapicuru
2916609,Itapitanga,BA,itapitanga
2916708,Itaquara,BA,itaquara
2916807,Itarantim,BA,itarantim
2916856,Itatim,BA,itatim
2916906,Itiruçu,BA,itirucu
2917003,Itiúba,BA,itiuba
2917102,Itororó,BA,itororo
2917201,Ituaçu,BA,ituacu
2917300,Ituberá,BA,itubera
2917334,Iuiu,BA,iuiu
2917359,Jaborandi,BA,jaborandi
2917409,Jacaraci,BA,jacaraci
2917508,Jacobina,BA,jacobina
2917607,Jaguaquara,BA,jaguaquara
2917706,Jaguarari,BA,jaguarari
2917805,Jaguaripe,BA,jaguaripe
2917904,Jandaíra,BA,jandaira
2918001,Jequié,BA,jequie
2918100,Jeremoabo,BA,jeremoabo
2918209,Jiquiriçá,BA,jiquirica
2918308,Jitaúna,BA,jitauna
2918357,João Dourado,BA,joao dourado
2918407,Juazeiro,BA,juazeiro
2918456,Jucuruçu,BA,jucurucu
2918506,Jussara,BA,jussara
2918555,Jussari,BA,jussari
2918605,Jussiape,BA,jussiape
2918704,Lafaiete Coutinho,BA,lafaiete coutinho
2918753,Lagoa Real,BA,lagoa real
2918803,Laje,BA,laje
2918902,Lajedão,BA,lajedao
2919009,Lajedinho,BA,lajedinho
2919058,Lajedo do Tabocal,BA,lajedo do tabocal
2919108,Lamarão,BA,lamarao
2919157,Lapão,BA,lapao
2919207,Lauro de Freitas,BA,lauro de freitas
2919306,Lençóis,BA,lencois
2919405,Licínio de Almeida,BA,licinio de almeida
2919504,Livramento de Nossa Senhora,BA,livramento de nossa senhora
2919553,Luís Eduardo Magalhães,BA,luis eduardo magalhaes
2919603,Macajuba,BA,macajuba
2919702,Macarani,BA,macarani
2919801,Macaúbas,BA,macaubas
2919900,Macururé,BA,macurure
2919926,Madre de Deus,BA,madre de deus
2919959,Maetinga,BA,maetinga
2920007,Maiquinique,BA,maiquinique
2920106,Mairi,BA,mairi
2920205,Malhada,BA,malhada
2920304,Malhada de Pedras,BA,malhada de pedras
2920403,Manoel Vitorino,BA,manoel vitorino
2920452,Mansidão,BA,mansidao
2920502,Maracás,BA,maracas
2920601,Maragogipe,BA,maragogipe
2920700,Maraú,BA,marau
2920809,Marcionílio Souza,BA,marcionilio souza
2920908,Mascote,BA,mascote
2921005,Mata de São João,BA,mata de sao joao
2921054,Matina,BA,matina
2921104,Medeiros Neto,BA,medeiros neto
2921203,Miguel Calmon,BA,miguel calmon
2921302,Milagres,BA,milagres
2921401,Mirangaba,BA,mirangaba
2921450,Mirante,BA,mirante
2921500,Monte Santo,BA,monte santo
2921609,Morpará,BA,morpara
2921708,Morro do Chapéu,BA,morro do chapeu
2921807,Mortugaba,BA,mortugaba
2921906,Mucugê,BA,mucuge
2922003,Mucuri,BA,mucuri
2922052,Mulungu do Morro,BA,mulungu do morro
2922102,Mundo Novo,BA,mundo novo
2922201,Muniz Ferreira,BA,muniz ferreira
2922250,Muquém do São Francisco,BA,muquem do sao francisco
2922300,Muritiba,BA,muritiba
2922409,Mutuípe,BA,mutuipe
2922508,Nazaré,BA,nazare
2922607,Nilo Peçanha,BA,nilo pecanha
2922656,Nordestina,BA,nordestina
2922706,Nova Canaã,BA,nova canaa
2922730,Nova Fátima,BA,nova fatima
2922755,Nova Ibiá,BA,nova ibia
2922805,Nova Itarana,BA,nova itarana
2922854,Nova Redenção,BA,nova redencao
2922904,Nova Soure,BA,nova soure
2923001,Nova Viçosa,BA,nova vicosa
2923035,Novo Horizonte,BA,novo horizonte
2923050,Novo Triunfo,BA,novo triunfo
2923100,Olindina,BA,olindina
2923209,Oliveira dos Brejinhos,BA,oliveira dos brejinhos
2923308,Ouriçangas,BA,ouricangas
2923357,Ourolândia,BA,ourolandia
2923407,Palmas de Monte Alto,BA,palmas de monte alto
2923506,Palmeiras,BA,palmeiras
2923605,Paramirim,BA,paramirim
2923704,Paratinga,BA,paratinga
2923803,Paripiranga,BA,paripiranga
2923902,Pau Brasil,BA,pau brasil
2924009,Paulo Afonso,BA,paulo afonso
2924058,Pé de Serra,BA,pe de serra
2924108,Pedrão,BA,pedrao
2924207,Pedro Alexandre,BA,pedro alexandre
2924306,Piatã,BA,piata
2924405,Pilão Arcado,BA,pilao arcado
2924504,Pindaí,BA,pindai
2924603,Pindobaçu,BA,pindobacu
2924652,Pintadas,BA,pintadas
2924678,Piraí do Norte,BA,pirai do norte
2924702,Piripá,BA,piripa
2924801,Piritiba,BA,piritiba
2924900,Planaltino,BA,planaltino
2925006,Planalto,BA,planalto
2925105,Poções,BA,pocoes
2925204,Pojuca,BA,pojuca
2925253,Ponto Novo,BA,ponto novo
2925303,Porto Seguro,BA,porto seguro
2925402,Potiraguá,BA,potiragua
2925501,Prado,BA,prado
2925600,Presidente Dutra,BA,presidente dutra
2925709,Presidente Jânio Quadros,BA,presidente janio quadros
2925758,Presidente Tancredo Neves,BA,presidente tancredo neves
2925808,Queimadas,BA,queimadas
2925907,Quijingue,BA,quijingue
2925931,Quixabeira,BA,quixabeira
2925956,Rafael Jambeiro,BA,rafael jambeiro
2926004,Remanso,BA,remanso
2926103,Retirolândia,BA,retirolandia
2926202,Riachão das Neves,BA,riachao das neves
2926301,Riachão do Jacuípe,BA,riachao do jacuipe
2926400,Riacho de Santana,BA,riacho de santana
2926509,Ribeira do Amparo,BA,ribeira do amparo
2926608,Ribeira do Pombal,BA,ribeira do pombal
2926657,Ribeirão do Largo,BA,ribeirao do largo
2926707,Rio de Contas,BA,rio de contas
2926806,Rio do Antônio,BA,rio do antonio
2926905,Rio do Pires,BA,rio do pires
2927002,Rio Real,BA,rio real
2927101,Rodelas,BA,rodelas
2927200,Ruy Barbosa,BA,ruy barbosa
2927309,Salinas da Margarida,BA,salinas da margarida
2927408,Salvador,BA,salvador
2927507,Santa Bárbara,BA,santa barbara
2927606,Santa Brígida,BA,santa brigida
2927705,Santa Cruz Cabrália,BA,santa cruz cabralia
2927804,Santa Cruz da Vitória,BA,santa cruz da vitoria
2927903,Santa Inês,BA,santa ines
2928059,Santa Luzia,BA,santa luzia
2928109,Santa Maria da Vitória,BA,santa maria da vitoria
2928406,Santa Rita de Cássia,BA,santa rita de cassia
2928505,Santa Terezinha,BA,santa terezinha
2928000,Santaluz,BA,santaluz
2928208,Santana,BA,santana
2928307,Santanópolis,BA,santanopolis
2928604,Santo Amaro,BA,santo amaro
2928703,Santo Antônio de Jesus,BA,santo antonio de jesus
2928802,Santo Estêvão,BA,santo estevao
2928901,São Desidério,BA,sao desiderio
2928950,São Domingos,BA,sao domingos
2929107,São Felipe,BA,sao felipe
2929008,São Félix,BA,sao felix
2929057,São Félix do Coribe,BA,sao felix do coribe
2929206,São Francisco do Conde,BA,sao francisco do conde
2929255,São Gabriel,BA,sao gabriel
2929305,São Gonçalo dos Campos,BA,sao goncalo dos campos
2929354,São José da Vitória,BA,sao jose da vitoria
2929370,São José do Jacuípe,BA,sao jose do jacuipe
2929404,São Miguel das Matas,BA,sao miguel das matas
2929503,São Sebastião do Passé,BA,sao sebastiao do passe
2929602,Sapeaçu,BA,sapeacu
2929701,Sátiro Dias,BA,satiro dias
2929750,Saubara,BA,saubara
2929800,Saúde,BA,saude
2929909,Seabra,BA,seabra
2930006,Sebastião Laranjeiras,BA,sebastiao laranjeiras
2930105,Senhor do Bonfim,BA,senhor do bonfim
2930204,Sento Sé,BA,sento se
2930154,Serra do Ramalho,BA,serra do ramalho
2930303,Serra Dourada,BA,serra dourada
2930402,Serra Preta,BA,serra preta
2930501,Serrinha,BA,serrinha
2930600,Serrolândia,BA,serrolandia
2930709,Simões Filho,BA,simoes filho
2930758,Sítio do Mato,BA,sitio do mato
2930766,Sítio do Quinto,BA,sitio do quinto
2930774,Sobradinho,BA,sobradinho
2930808,Souto Soares,BA,souto soares
2930907,Tabocas do Brejo Velho,BA,tabocas do brejo velho
2931004,Tanhaçu,BA,tanhacu
2931053,Tanque Novo,BA,tanque novo
2931103,Tanquinho,BA,tanquinho
2931202,Taperoá,BA,taperoa
2931301,Tapiramutá,BA,tapiramuta
2931350,Teixeira de Freitas,BA,teixeira de freitas
2931400,Teodoro Sampaio,BA,teodoro sampaio
2931509,Teofilândia,BA,teofilandia
2931608,Teolândia,BA,teolandia
2931707,Terra Nova,BA,terra nova
2931806,Tremedal,BA,tremedal
2931905,Tucano,BA,tucano
2932002,Uauá,BA,uaua
2932101,Ubaíra,BA,ubaira
2932200,Ubaitaba,BA,ubaitaba
2932309,Ubatã,BA,ubata
2932408,Uibaí,BA,uibai
2932457,Umburanas,BA,umburanas
2932507,Una,BA,una
2932606,Urandi,BA,urandi
2932705,Uruçuca,BA,urucuca
2932804,Utinga,BA,utinga
2932903,Valença,BA,valenca
2933000,Valente,BA,valente
2933059,Várzea da Roça,BA,varzea da roca
2933109,Várzea do Poço,BA,varzea do poco
2933158,Várzea Nova,BA,varzea nova
2933174,Varzedo,BA,varzedo
2933208,Vera Cruz,BA,vera cruz
2933257,Vereda,BA,vereda
2933307,Vitória da Conquista,BA,vitoria da conquista
2933406,Wagner,BA,wagner
2933455,Wanderley,BA,wanderley
2933505,Wenceslau Guimarães,BA,wenceslau guimaraes
2933604,Xique-Xique,BA,xique-xique
2300101,Abaiara,CE,abaiara
2300150,Acarape,CE,acarape
2300200,Acaraú,CE,acarau
2300309,Acopiara,CE,acopiara
2300408,Aiuaba,CE,aiuaba
2300507,Alcântaras,CE,alcantaras
2300606,Altaneira,CE,altaneira
2300705,Alto Santo,CE,alto santo
2300754,Amontada,CE,amontada
2300804,Antonina do Norte,CE,antonina do norte
2300903,Apuiarés,CE,apuiares
2301000,Aquiraz,CE,aquiraz
2301109,Aracati,CE,aracati
2301208,Aracoiaba,CE,aracoiaba
2301257,Ararendá,CE,ararenda
2301307,Araripe,CE,araripe
2301406,Aratuba,CE,aratuba
2301505,Arneiroz,CE,arneiroz
2301604,Assaré,CE,assare
2301703,Aurora,CE,aurora
2301802,Baixio,CE,baixio
2301851,Banabuiú,CE,banabuiu
2301901,Barbalha,CE,barbalha
2301950,Barreira,CE,barreira
2302008,Barro,CE,barro
2302057,Barroquinha,CE,barroquinha
2302107,Baturité,CE,baturite
2302206,Beberibe,CE,beberibe
2302305,Bela Cruz,CE,bela cruz
2302404,Boa Viagem,CE,boa viagem
2302503,Brejo Santo,CE,brejo santo
2302602,Camocim,CE,camocim
2302701,Campos Sales,CE,campos sales
2302800,Canindé,CE,caninde
2302909,Capistrano,CE,capistrano
2303006,Caridade,CE,caridade
2303105,Cariré,CE,carire
2303204,Caririaçu,CE,caririacu
2303303,Cariús,CE,carius
2303402,Carnaubal,CE,carnaubal
2303501,Cascavel,CE,cascavel
2303600,Catarina,CE,catarina
2303659,Catunda,CE,catunda
2303709,Caucaia,CE,caucaia
2303808,Cedro,CE,cedro
2303907,Chaval,CE,chaval
2303931,Choró,CE,choro
2303956,Chorozinho,CE,chorozinho
2304004,Coreaú,CE,coreau
2304103,Crateús,CE,crateus
2304202,Crato,CE,crato
2304236,Croatá,CE,croata
2304251,Cruz,CE,cruz
2304269,Deputado Irapuan Pinheiro,CE,deputado irapuan pinheiro
2304277,Ereré,CE,erere
2304285,Eusébio,CE,eusebio
2304301,Farias Brito,CE,farias brito
2304350,Forquilha,CE,forquilha
2304400,Fortaleza,CE,fortaleza
2304459,Fortim,CE,fortim
2304509,Frecheirinha,CE,frecheirinha
2304608,General Sampaio,CE,general sampaio
2304657,Graça,CE,graca
2304707,Granja,CE,granja
2304806,Granjeiro,CE,granjeiro
2304905,Groaíras,CE,groairas
2304954,Guaiúba,CE,guaiuba
2305001,Guaraciaba do Norte,CE,guaraciaba do norte
2305100,Guaramiranga,CE,guaramiranga
2305209,Hidrolândia,CE,hidrolandia
2305233,Horizonte,CE,horizonte
2305266,Ibaretama,CE,ibaretama
2305308,Ibiapina,CE,ibiapina
2305332,Ibicuitinga,CE,ibicuitinga
2305357,Icapuí,CE,icapui
2305407,Icó,CE,ico
